voltage,Vbe,V1k,Vce,V220k,Ic
0,0,0,4.95,0,0
1,0.59,0.24,4.71,0.41,0.29
2,0.66,0.96,3.98,1.35,1
3,0.65,1.76,3.19,2.37,1.76
4,0.65,2.54,2.41,3.35,2.57
5,0.65,3.35,1.56,4.34,3.39
6,0.65,4.15,0.79,5.4,4.17
Ib
0
2
6.02
11.1
15.4
19.6
24.4
